Chinese Biodiversity|Chinese Biodiversity
Fen Zi Xi Bao Sheng Wu Xue Bao|Fen Zi Xi Bao Sheng Wu Xue Bao
Genome Biol.|Genome Biology
Studi Trent. Sci. Nat., Acta Biol.|Studi Trentini di Scienze Naturali, Acta Biologica
Tech. reports Austral. Mus.|Technical reports of the Australian Museum
Zonghua Liu Xing Bing Xue Za Zhi|Zonghua Liu Xing Bing Xue Za Zhi
Selbyana|Selbyana
Acta Agric. Sloven.|Acta Agriculturae Slovenica
Forest Ecol. Manag.|Forest Ecology and Management
Nachr. dtsch. Ges. allg. angew. Ent.|Nachrichten der Deutschen Gesellschaft fur Allgemeine und Angewandte Entomologie
Bragantia|Bragantia
PLoS Pathog.|PLoS. Pathogens
Europ. Arch. Otorhinolaryngol.|European Archives of Otorhinolaryngology
Braunschw. naturkdl. Schr.|Braunschweiger naturkundliche Schriften
Biol. Lett.|Biology Letters
PLoS ONE|PLoS ONE
Molec. Ecol. Notes|Molecular Ecology Notes
Molec. Ecol. Resourc.|Molecular Ecology Resources
Explore|Explore
Acta zool. Univ. Comen.|Acta zoologica Universitatis Comenianae
Proc. r. phys. Soc. Edinb.|Proceedings of the Royal Physical Society of Edinburgh. 
Ann. Bogor.|Annales Bogorienses
Myrmecia|Myrmecia
Feuille Natural.|La Feuille des Naturalistes
Environ. Monit. Assess.|Environmental Monitoring and Assessment
Heteropterus Rev. Entomol.|Heteropterus Revista de Entomologia
Trop. Zool.|Tropical Zoology
Sydowia|Sydowia
Int. Congr. Speleology|International Congress of Speleology
Instrumenta Biodivers.|Instrumenta Biodiversitatis
Berl. ent. Z.|Berliner entomologische Zeitschrift
Izv. imp. Obshch. Lyub. Estest. Antrop. imp. mosk. Univ.|Izvestiia Imperatorskogo obschestva lyubitelei estestvoznaniya, antropologii i etnografii pri Imperatorskom Moskovskom Universitete
Heteropterus Revta Ent.|Heteropterus,  Revista de Entomologia
Port. Zool., Ser. Monogr.|Portugaliae zoologica, Serie monografica
Zpr. oblast. Muz. Gottwaldov|Zpravy oblast  Muzea Gottwaldov
Zool. baet.|Zoologica baetica
Zool. Middle East|Zoology in the Middle East
Trudy gelmintol. Lab.|Trudy gelmintologicke Labor
Trans. r. Soc. Edinb.|Transactions of the royal Society of Edinburgh
Syst. Biodiv.|Systematics and Biodiversity
Stud. cerc. Biol., Ser. Biol. Anim.|Studii si Cercetari de Biologie, Seria biologie animala
South Carolina Ext. Bull.|South Carolina Extension Bulletin
Silva Gabreta|Silva Gabreta
Sb. Mus. Orlick. hor|Sbornik Musea Orlickych hor
S. Am. Congr. Genet. 1|Actas I Congreso Latinoamericano de Genetica
S. Am. Congr. Genet. 5|Actas V Congreso Latinoamericano de Genetica
Revue Comport. anim.|Revue du comportement animal
Revta esp. Ent.|Revista espanola de Entomologia
Revta ecuat. Med. Cienc. Biol.|Revista ecuatoriana de Medicina y Ciencias Biologicas
Revta colomb. Ent.|Revista colombiana de Entomologia
Resum. Congr. bras. Genet.|Resumos do Congresso Brasileiro de Genetica
Publs Fac. nac. Filos., Univ. Brasil. Ser. Cient.|Publicacoes da Faculdade nacional de Filosofia. Universidade do Brasil. Serie Cientifica
Proc. Symp. Siber. Permafrost Stud. 3|Proceedings of the Third Symposium on the Joint Siberian Permafrost Studies between Japan and Russia.
Proc. Nucl. Sci.|Proceedings of Nuclear Science
New Entomol., Shinshu|New Entomologist, Shinshu
Naturw. Untersuch. Sarekgeb.|Naturwissenschaftliche Untersuchungen des Sarekgebirges in Schwedisch-Lappland
Naturhist. Tidsskr.|Naturhistoriske Tidsskrift
Naturalia, Sao Paulo|Naturalia
Natn. Mus. Wales, Ent. Ser.|National Museum of Wales: Entomology Series
Nat. Prod. Res.|Natural Product Research
N. Z. J. agric. Res.|New Zealand Journal of agricultural Research
Monografias SEA|Monografias de la Sociedad Entomologica Aragonesa
Monogr. Inst. Zool., Belgrade|Monographs of the Institute of Zoology, Belgrade
Med. Entomol. Zool.|Medical Entomology and Zoology
K. svenska VetenskAkad. Handl.|Kungliga Svenska Vetenskaps-Akademiens Handliger
J. comp. Neurol. Psychol.|Journal of Comparative Neurology and Psychology
J. Environ. Educ.|Journal of Environmental Education
J. Biol. Control|Journal of biological control
Israel J. Ecol. Evol.|Israel Journal of Ecology & Evolution
Israel J. Ent.|Israel Journal of Entomology
Int. J. Dipterol. Res.|Internatinal Journal of Dipterological Research
Int. Congr. Genet. 17|Volume of Abstracts. XVII International Congress of Genetics, Birmingham, 1993
Int. Congr. Entomol.|International Congress of Entomology
Int. Congr. Entomol. 16|Abstracts. 16th International Congress of Entomology, Kyoto, 1980
Int. Congr. Entomol. 17|XVII International Congress of Entomology, Hamburg, Federal Republic of Germany, August 20-26, 1984: Abstract volume
Int. Congr. Entomol. 14|Abstracts of the XIVth International Congress of Entomology, Canberra Australia, August 22-30, 1972
Iheringia, Ser. Zool.|Iheringia, Serie Zoologica
Hist. Animal.|Historia Animalium
Fla Ent.|The Florida Entomologist
Fauna hung.|Fauna hungariae [Magyarorszag allatvilaga]
Entomonograph|Entomonograph
Ent. Ber. Luzern|Entomologische Berichte Luzern
Dipteron|Dipteron
Denkschr. med.-naturw. Ges. Jena|Denkschriften der medizinisch-naturwissenschaftlichen Gesellschaft in Jena.
Cytologia, Fujii Jubilee Vol.|Cytologia. Fujii Jubilee Vol.
Chinese J. Epidemiol.|Chinese Journal of Epidemiology
Bull. Ass. S. E. Biol.|Bulletin of the Association of South Eastern Biologists
Bull. Acad. serbe Sci. Arts, Cl. Sci. math. nat.|Bulletin de l'Academie Serbe des Sciences et des Arts, Classe des Sciences mathematiques et naturelles
Braz. J. Biol.|Brazilian Journal of Biology
Br. J. exp. Biol.|British Journal of Experimental Biology
Bot. Acta|Botanica Acta
Bonn. zool. Beitr.|Bonner zoologische Beitrage
Bull. U. S. Natl Mus.|Bulletin of the United States National Museum
Boln Soc. Hist. nat. Balears|Boletin de la Sociedad de historia natural de Balears
Biota neotrop.|Biota neotropica
Biocontrol News Inf.|Biocontrol News and Information
Aust. J. Ecol.|Australian Journal of Ecology
Arch. Inst. Pasteur Alger.|Archives de l'Institut Pasteur d'Algerie
Acta biol. jugosl., Biosistematika|Acta biologica jugoslavica
Acta biol. jugosl., Ekologija|Acta biologica jugoslavica
Acta biol. jugosl., Genetika|Acta biologica jugoslavica
Abstr. Int. Congr. Dipterol. 1|Abstracts. First International Congress of Dipterology, Budapest
Abh. Naturkundemus. Gorlitz|Abhandlungen und Berichte des Naturkundenmuseums Gorlitz
A. Rep. Minn agric. Exp. Stn, Rep. St. Ent. Minn.|Annual Report of the State Entomologist of Minnesota to the Governer
oben neu!|oben neu!-oder korrigiert
1986 Get Away Special Experimenter's Symp.|1986 Get Away Special Experimenter's Symposium: proceedings of a symposium held at NASA Goddard Space Flight Center, Greenbelt, Maryland, October 7-8, 1986.
1st Congreso Venezolano de Salud Publica|I Congreso Venezolano de Salud Publica y III Conferencia Nacional de Unidades Sanitarias, 19-25 noviembre 1956.
6th Int. Aut. Map. DNA Seq. Conf.|Sixth International Automation in Mapping and DNA Sequencing Conference. September 1-4, 1999, Hinxton, Cambridge, UK.
A. An. Mtng Amer. Soc. Anesthiologists|Abstracts of Scientific Papers, Annual Meeting. American Society of Anesthesiologists.
A. Conf. Indian Soc. Dev. Biol., 2002|Abstracts. Annual Conference of the Indian Society of Developmental Biologists, 17-20 Feb 2002.
A. Dros. Res. Conf. 27|Program and Abstracts. 27th Annual Drosophila Research Conference, Asilomar, 1986
A. Dros. Res. Conf. 28|Program and Abstracts. 28th Annual Drosophila Research Conference, Chicago, 1987
A. Dros. Res. Conf. 29|Program and Abstracts. 29th Annual Drosophila Research Conference, Toronto, 1988
A. Dros. Res. Conf. 30|Program and Abstracts. 30th Annual Drosophila Research Conference, New Orleans, 1989
A. Dros. Res. Conf. 31|Program and Abstracts. 31st Annual Drosophila Research Conference, Asilomar, 1990
A. Dros. Res. Conf. 32|Program and Abstracts. 32nd Annual Drosophila Research Conference, Chicago, 1991
A. Dros. Res. Conf. 33|Program and Abstracts. 33rd Annual Drosophila Research Conference, Philadelphia, 1992
A. Dros. Res. Conf. 34|Program and Abstracts. 34th Annual Drosophila Research Conference, San Diego, 1993
A. Dros. Res. Conf. 35|Program and Abstracts. 35th Annual Drosophila Research Conference, Chicago, 1994
A. Dros. Res. Conf. 35|Program and Abstracts. 35th Annual Drosophila Research Conference, Chicago, 1994
A. Dros. Res. Conf. 36|Program and Abstracts. 36th Annual Drosophila Research Conference, Atlanta, 1995
A. Dros. Res. Conf. 36|Program and Abstracts. 36th Annual Drosophila Research Conference, Atlanta, 1995
A. Dros. Res. Conf. 37|Program and Abstracts. 37th Annual Drosophila Research Conference, San Diego, 1996
A. Dros. Res. Conf. 37|Program and Abstracts. 37th Annual Drosophila Research Conference, San Diego, 1996
A. Dros. Res. Conf. 38|Program and Abstracts. 38th Annual Drosophila Research Conference, Chicago, 1997
A. Dros. Res. Conf. 38|Program and Abstracts. 38th Annual Drosophila Research Conference, Chicago, 1997
A. Dros. Res. Conf. 39|Program and Abstracts. 39th Annual Drosophila Research Conference, Washington DC, 1998
A. Dros. Res. Conf. 39|Program and Abstracts. 39th Annual Drosophila Research Conference, Washington DC, 1998
A. Dros. Res. Conf. 40|Program and Abstracts. 40th Annual Drosophila Research Conference, Bellevue, 1999
A. Dros. Res. Conf. 40|Program and Abstracts. 40th Annual Drosophila Research Conference, Bellevue, 1999
A. Dros. Res. Conf. 41|Program and Abstracts. 41st Annual Drosophila Research Conference, Pittsburgh, 2000
A. Dros. Res. Conf. 41|Program and Abstracts. 41st Annual Drosophila Research Conference, Pittsburgh, 2000
A. Dros. Res. Conf. 42|Program and Abstracts. 42nd Annual Drosophila Research Conference, Washington DC, 2001
A. Dros. Res. Conf. 42|Program and Abstracts. 42nd Annual Drosophila Research Conference, Washington DC, 2001
A. Dros. Res. Conf. 43|Program and Abstracts. 43rd Annual Drosophila Research Conference, San Diego, 2002
A. Dros. Res. Conf. 43|Program and Abstracts. 43rd Annual Drosophila Research Conference, San Diego, 2002
A. Dros. Res. Conf. 44|Program and Abstracts. 44th Annual Drosophila Research Conference, Chicago, 2003
A. Dros. Res. Conf. 44|Program and Abstracts. 44th Annual Drosophila Research Conference, Chicago, 2003
A. Dros. Res. Conf. 45|Program and Abstracts. 45th Annual Drosophila Research Conference, Washington, DC, 2004
A. Dros. Res. Conf. 45|Program and Abstracts. 45th Annual Drosophila Research Conference, Washington, DC, 2004
A. Dros. Res. Conf. 46|Program and Abstracts. 46th Annual Drosophila Research Conference, San Diego, CA, 2005
A. Dros. Res. Conf. 46|Program and Abstracts. 46th Annual Drosophila Research Conference, San Diego, CA, 2005
A. Lorne Conf. Org. Exp. Genome|Annual Lorne Conference on the Organisation and Expression of the Genome.
A. Lorne Conf. Prot. Struct.|Annual Lorne Conference on Protein Structure
A. Mtng Am. Soc. Cell Biol. 13 Abstr.|Abstracts. 13th Annual Meeting. American Society for Cell Biology
A. Mtng Am. Soc. Cell Biol. 14 Abstr.|Abstracts. 14th Annual Meeting. American Society for Cell Biology, San Diego.
A. Mtng Biophys. Soc.|Biophysical Society. Abstracts of Annual Meeting
A. Mtng Canad. Fed. Biol. Soc.|Annual Meeting, Canadian Federation of Biological Societies. Program/Proceeding [Congres annuel, Federation canadienne des societes de biologie]
A. Mtng Canad. Fed. Biol. Soc. 37|37th Annual Meeting, Canadian Federation of Biological Societies 1994 program/proceeding, Quebec, June 16th-18th, 1994 [37e Congres annuel, Federation canadienne des societes de biologie, juin 16-18, 1994]
A. Mtng Mol. Biol. Soc. Jpn 18|18th Annual Meeting. Molecular Biology Society of Japan, Nagoya.
A. Mtng Proc. Am. Ass. Cancer Res.|Annual meeting. Proceedings of the American Association for Cancer Research
A. Prog. Rep. Oak Ridge Nat. Lab. Biol. Div.|Annual Progress Report. Biology Division. Oak Ridge National Laboratory
A. Rep. agric. Exp. Stn, Univ. Maryland|Annual report of the University of Maryland, Agricultural Experiment Station
A. Rep. Biol. Lab., Long Island Biol. Ass.|Annual Report of the Biological Laboratory, Long Island Biological Association
A. Rep. biol. Wks Osaka Univ|Annual report of biological works
A. Rep. Biol., Calif. Inst. Technol.|Annual Report, Division of Biology, California Institute of Technology
A. Rep. Br. Emp. Cancer Campn|Annual Report of the British Empire Cancer Campaign
A. Rep. Brookhaven Natn. Lab.|Annual Report, Brookhaven National Laboratory
A. Rep. Cacao Res.|Annual Report on Cacao Research, Regional Research Center, Imperial College of Tropical Agriculture, University of the West Indies
A. Rep. Center Pathobiol., Univ. Calif. Irvine|Annual Report of the Center for Pathobiology, University of California at Irvine
A. Rep. Cold Spring Harbor Lab.|Annual Report. Cold Spring Harbor Laboratory
A. Rep. Congenit. Anomal. Res. Ass. Jpn|Annual Report of the Congenital Anomalies Research Association of Japan [Nihon Senten Ijo Gakkai]
A. Rep. CSIRO, Div. Plant Industry|Annual Report. Division of Plant Industry. Commonwealth Scientific and Industrial Research Organization
A. Rep. Dep. Agric., Fiji|Annual Report of the Department of Agriculture, Fiji
A. Rep. Dep. Agric., Tanganyika|Annual Report of the Department of Agriculture, Tanganyika Territory
A. Rep. Dev. Biol. Center, Univ. Calif. Irvine|Annual Report of the Developmental Biology Center, University of California at Irvine
A. Rep. ent. Soc. Ont.|Annual Report of the Entomological Society of Ontario
A. Rep. Friedrich Miescher Inst.|Annual Report. Friedrich Miescher Institute
A. Rep. Grand Coun. Br. Emp. Cancer Campn.|Annual report of the Grand Council. British Empire Cancer Campaign
A. Rep. Inst. Cancer Res. & Lankanau Hosp. Res. Inst., Philadelphia|Annual Report Institute for Cancer Research and Lankanau Hospital Research Institute
A. Rep. Iowa agric. Exp. Stn|Annual Report of Agricultural Research, Agricultural Experiment Station, Iowa State College of Agriculture and Mechanic Arts
A. Rep. Korean Cult. Res. Inst.|Annual Report of the Korean Cultural Research Institute (Ewha Women's University)
A. Rep. Lab. Schneiderman|Control Systems in Insect Development. Annual Report of the laboratory of Howard A. Schneiderman and co-workers
A. Rep. Minn agric. Exp. Stn, Rep. Ent. St. Exp. Stn U. Minn.|Annual Report of the Entomologists of the State Experiment Station of the University of Minnesota to the Governer
A. Rep. N. J. St. Mus.|Annual Report of the New Jersey State Museum
A. Rep. natn. Inst. Genet., Mishima|Annual Report of the National Institute of Genetics, Japan
A. Rep. natn. Inst. Radiol.|Annual Report of the National Institute of Radiology
A. Rep. natn. Res. Council Comm. Growth|Annual Report. National Research Council Committee on Growth (to the American Cancer Society)
A. Rep. Neb. St. hort. Soc.|Annual Report of the Nebraska State Horticultural Society
A. Rep. New York St. Museum|New York State Museum. Annual Report
A. Rep. Nuffield Found.|Annual Report. The Nuffield Foundation
A. Rep. Pacific Northwest Lab. USERDA Div. Biomed. Environ. Res.|Annual Report of the Pacific Northwest Laboratory to the United States Energy Research and Development Administration Division of Biomedical and Environmental Research
A. Rep. Quebec Soc. Prot. Pl.|Annual Report of the Quebec Society for the Protection of Plants
A. Rep. Quebec Soc. Prot. Pl. Insect. Fung.|Annual Report of the Quebec Society for the Protection of Plants from Insects and Fungous Diseases
A. Rep. Rockefeller Found.|Annual Report. The Rockefeller Foundation.
A. Rep. scient. Wks Osaka Univ.|Annual Report of Scientific Works, Faculty of Science, Osaka University
A. Rep. Smithson. Instn.|Report on the progress and condition of the U.S. National Museum (Smithsonian Institution)
A. Rep. U. S. Dep. Agric.|Report of the Secretary of Agriculture, United States Department of Agriculture
A. Rep. Wis. agric. Exp. Stn|Annual Report of the Wisconsin Agricultural Experiment Station
A. Rep., Aust. natn. Univ., Res. Sch. Biol. Sci.|Annual Report. Australian National University Research School of Biological Sciences
A. Rep., Dep. Genet. Human Variation, La Trobe|Annual Report. Department of Genetics and Human Variation, La Trobe University
A. Rev. Biochem.|Annual Review of Biochemistry
A. Rev. Biophys. Bioeng.|Annual Review of Biophysics and Bioengineering
A. Rev. Biophys. Biomolec. Struct.|Annual Review of Biophysics and Biomolecular Structure
A. Rev. Biophys. Biophys. Chem.|Annual Review of Biophysics and Biophysical Chemistry
A. Rev. Cell Biol.|Annual Review of Cell Biology
A. Rev. Cell Dev. Biol.|Annual Review of Cell and Developmental Biology
A. Rev. Ecol. Evol. System.|Annual Review of Ecology Evolution and Systematics
A. Rev. Ecol. System.|Annual Review of Ecology and Systematics
A. Rev. Ent.|Annual Review of Entomology
A. Rev. Genet.|Annual Review of Genetics
A. Rev. Genomics Hum. Genet.|Annual Review of Genomics and Human Genetics
A. Rev. Immunol.|Annual Review of Immunology
A. Rev. Microbiol.|Annual Review of Microbiology
A. Rev. Neurosci.|Annual Review of Neuroscience
A. Rev. Pharmacol.|Annual Review of Pharmacology
A. Rev. Physiol.|Annual Review of Physiology
A. Rev. Plant Physiol.|Annual Review of Plant Physiology
A. Rev. Psychol.|Annual Review of Psychology
A. Rev. Zool.|Annual Review of Zoology
A. Rpt. Mich. St. Univ./AEC Plant Res. Lab.|Annual report of the Michigan State University/Atomic Energy Commission Plant Research Laboratory
A. Rpt. Wellcome Trust/CRC, Cambridge|Annual Report. Wellcome Trust/CRC Institute, Cambridge
A. S. B. Bull.|A. S. B. Bulletin (Association of Southestern Biologists)
A. Sci. Paps Am. Soc. Anesthiol.|Abstracts of Scientific Papers, Annual Meeting of the American Society of Anesthesiologists.
AAAS Natl. Mtng Science Innov. Exp.|AAAS Annual Meeting and Science Innovation Exposition
AAAS natn. Mtng Abstr. Pap.|American Association for the Advancement of Science (AAAS). AAAS National Meeting. Abstracts of Papers
Aan de Poorten Van Een Nieuwe Tijd|Aan de poorten van een nieuwe tijd; mogelijkheden en toepassingen der kernenergie.
Abh. Akad. Wiss. DDR. Abt. Math. Naturwiss. Technik|Abhandlungen der Akademie der Wissenschaften der DDR, Abteilung Mathematik, Naturwissenschaften, Technik
Abh. bayer. Akad. Wiss. Math.-naturw. Abt.|Abhandlungen der Bayerischen Akademie der Wissenschaften. Mathematisch-naturwissenschaftliche Abteilung
Abh. bayer. Akad. Wiss. Math.-naturw. Abt.|Abhandlungen der Bayerischen Akademie der Wissenschaften. Mathematisch-naturwissenschaftliche Abteilung
Abh. Ber. Mus. Nat., Gotha|Abhandlungen und Berichte des Museums der Natur Gotha
Abh. Ber. NatMus., Gotha|Abhandlungen und Berichte des Naturkundemuseums Gotha
Abh. braunschw. wiss. Ges.|Abhandlungen der Braunschweigischen wissenschaftlichen Gesellschaft
Abh. Dtsch. Akad. Wiss. Berlin|Abhandlungen der Deutschen Akademie der Wissenschaften zu Berlin
Abh. K.-K. zool.-bot. Ges. Wien|Abhandlungen der Kaiserlich-Koniglichen Zoologisch-botanischen Gesellschaft in Wien
Abh. Karst- u. Hohlenk.|Abhandlungen zur Karste- und Hohlenkunde
Abh. naturf. Ges. Gorlitz|Abhandlungen und Berichte des Naturforschenden Gesellschaft zu Gorlitz
Abh. naturkundmus. Gorlitz|Abhandlungen und Berichte des Naturkundenmuseums Gorlitz
Abh. naturw. Ver. Bremen|Abhandlungen herausgegeben vom Naturwissenschaftlichen Verein zu Bremen
Abh. naturw. Ver. Schwaben|Abhandlungen des Naturwissenschaftlichen Vereins fur Schwaben und Neuburg
Abh. zool.-bot. Ges. Wien|Abhandlungen der Zoologisch-botanischen Gesellschaft in Wien
Abs. A. Mtng Assoc. Res. Vision Ophthalmol.|Abstracts. Annual Meeting of the Association For Research in Vision and Ophthalmology
Abs. Jpn. Soc. Appl. Ent. Zool.|Abstracts of the annual meeting of the Japanese Society of Applied Entomology and Zoology
Abstr. 15th A. Mtng Europ. Neurosci. Assn|Abstracts. 15th Annual Meeting of the European Neuroscience Association.
Abstr. 25 Japan. Comp. Physiol. Biochem.|Abstracts. 25th Annual Meeting of the Japanese Society for Comparative Physiology and Biochemistry July 18-20, 2003.
Abstr. 2nd All-India Congr. Cytol. Genet.|Programme and Abstracts. Second All India Congress of Cytology and Genetics. University of Udaipur, October 20-24th 1975.
Abstr. 3rd All-India Congr. Cytol. Genet.|Programme and Abstracts. Third All India Congress of Cytology and Genetics held at the Haryana Agricultural University, Hissar, 23, 27 October 1978.
Abstr. 3rd Int. Work. Trans. Invert. Org.|Program and Abstracts. Third International Workshop on Transgenesis of Invertebrate Organisms. Kolymbari, Crete, Greece, August 21-26, 1999.
Abstr. 4 Int. Conf. Environ. Mutagens|Abstracts. 4th International Conference on Environmental Mutagens, Stockholm, June 24-28 1985.
Abstr. 4th Santiago Sthn Summer Symp.|Abstracts, 4th Santiago Southern Summer Symposium
Abstr. 4th Symp. USSR-Italy. Macromolecules & their Functions in Cells|Abstracts. 4th USSR-Italy Symposium on Macromolecules and their Functions in Cells
Abstr. 52nd Ent. Soc. Japan|Abstracts. Joint Annual Meeting of 52nd Entomological Society of Japan and 36th Japanese Society of Applied Entomology and Zoology.
Abstr. 54th Ent. Soc. Japan|Abstracts. Joint Annual Meeting of 54th Entomological Society of Japan and 38th Japanese Society of Applied Entomology and Zoology.
Abstr. 55th Ent. Soc. Japan|Abstracts. Joint Annual Meeting of 55th Entomological Society of Japan and 39th Japanese Society of Applied Entomology and Zoology.
Abstr. 56th Ent. Soc. Japan|Abstracts. Joint Annual Meeting of 56th Entomological Society of Japan and 40th Japanese Society of Applied Entomology and Zoology.
Abstr. 57th Ent. Soc. Japan|Abstracts of the 57th Annual Meeting of the Japanese Society of Entomology.
Abstr. 59th Ent. Soc. Japan|Abstracts of the 59th Annual Meeting of the Japanese Society of Entomology.
Abstr. 5th Albany Conf.|Abstracts. RNA: Catalysis, splicing and evolution. 5th Albany Conference.
Abstr. 5th Int. Conf. Invert. Tissue Culture|Abstracts. Fifth International Conference on Invertebrate Tissue Culture, Rigi-Kaltbad, Switzerland, 1979
Abstr. 64th Ent. Soc. Japan|Abstracts of the 64th meeting of the Entomological Society of Japan.
Abstr. 6th Congr. Int. Org. Mycoplasmol.|Abstracts. Sixth Congress of the International Organization for Mycoplasmology (IOM): 26-31 August 1986, Birmingham, Alabama, USA
Abstr. 6th ISMB|Abstracts. Sixth International Conference on Intelligent Systems for Molecular Biology.
Abstr. 7th Int. Conf. Inver. Fish Tissue Culture|Abstracts. Seventh International Conference on Invertebrate and Fish Tissue Culture
Abstr. 7th ISMB|Abstracts. Seventh International Conference on Intelligent Systems for Molecular Biology.
Abstr. 8th ISMB|Abstracts. Eighth International Conference on Intelligent Systems for Molecular Biology.
Abstr. 8th USSR-France Symp. Molec. Biol. Proteins Nucleic Acids|Abstracts. 8th USSR-France Symp. Molec. Biol. Proteins Nucleic Acids
Abstr. A. Conf. Org. Exp. Eukaryot. Genome 11|Abstracts. Eleventh Annual Conference on Organisation and Expression of the Eukaryotic Genome.
Abstr. A. Conf. Org. Exp. Eukaryot. Genome 4|Abstracts. Fourth Annual Conference on Organisation and Expression of the Eukaryotic Genome.
Abstr. A. Conf. Org. Exp. Eukaryot. Genome 6|Abstracts. Sixth Annual Conference on Organisation and Expression of the Eukaryotic Genome.
Abstr. A. Conf. Org. Exp. Eukaryot. Genome 7|Abstracts. Seventh Annual Conference on Organisation and Expression of the Eukaryotic Genome.
Abstr. A. Mtng Am. Soc. Microbiol.|Abstracts. Annual Meeting of the American Society of Microbiology
Abstr. A. Mtng Assoc. Res. Vision Ophthalmol., 2002|Abstracts. Annual Meeting of the Association For Research in Vision and Ophthalmology, Fort Lauderdale, Florida, USA, May 05-10, 2002
Abstr. A. Mtng Endocrine Soc.|The Endocrine Society - annual meeting, program and abstracts.
Abstr. A. Mtng Environ. Mutagen Soc. 1|Abstracts. 1st Annual Meeting of the Environmental Mutagen Society
Abstr. A. Mtng Environ. Mutagen Soc. 4|Abstracts. 4th Annual Meeting of the Environmental Mutagen Society
